day,S,E,I,R,I_rep,new_rep
244,30304607.18385513,131321.12640795571,202614.70960107326,1211605.980135834,20261.470960107326,2026.1470960107326
245,30276366.43315395,134082.92762982665,207584.03509472538,1232115.6041214992,20758.40350947254,2075.840350947254
246,30247603.005360328,136837.78714735375,212584.44141000553,1253123.7660823122,21258.444141000553,2125.8444141000555
247,30218321.970059127,139582.39644433407,217611.23343157067,1274633.4000649638,21761.12334315707,2176.112334315707
248,30188529.088461574,142313.06316936383,222660.04822335544,1296646.800145708,22266.004822335544,2226.6004822335544
249,30158230.42096842,145026.69216310326,227725.9693976289,1319165.9174708484,22772.596939762894,2277.2596939762893
250,30127432.46334326,147720.58925566205,232803.6177288764,1342192.3296722057,23280.36177288764,2328.036177288764
251,30096142.61181887,150391.3372810548,237888.1502134194,1365726.90068665,23788.815021341943,2378.8815021341943
252,30064368.833574973,153035.61718647787,242974.53895509057,1389770.0102834555,24297.453895509057,2429.7453895509057
253,30032119.447795454,155650.60785396674,248057.30162120002,1414321.6427293816,24805.730162120002,2480.5730162120003
254,29999403.99961236,158232.70149814207,253131.13737990105,1439381.161509601,25313.113737990105,2531.3113737990107
255,29966232.175546125,160778.84311970012,258190.59059372818,1464947.3907404453,25819.05905937282,2581.905905937282
256,29952610.390300237,145087.3318563411,261491.97542509637,1490959.3024183218,26149.19754250964,2614.919754250964
257,29938929.250555888,132189.5097601266,261881.31631837392,1517148.9233656114,26188.131631837394,2618.8131631837396
258,29925299.824689522,121496.37675959956,260089.69915565738,1543263.0993952183,26008.96991556574,2600.896991556574
259,29911807.297635894,112545.59444658851,256682.91726112165,1569113.190656397,25668.291726112166,2566.8291726112166
260,29898514.417984836,104976.0107016617,252098.06942145483,1594560.5018920456,25209.806942145486,2520.9806942145487
261,29885466.8648495,98505.06096762049,246672.21425119607,1619504.8599316862,24667.22142511961,2466.722142511961
262,29872697.264664844,92911.22817947785,240664.85161538073,1643875.6555402959,24066.485161538076,2406.6485161538076
